NbThreads,Time1,Time2,Time3,Time4,Time5
3,0.52,0.53,0.56,0.50,0.54
4,1.49,1.06,1.12,1.11,1.32
5,1.56,1.52,1.84,1.51,1.67
6,1.58,1.55,1.56,1.52,1.15
7,1.53,1.54,1.39,1.47,1.42
8,1.42,1.62,1.66,1.41,1.66
,1.57,1.72,1.73,1.82,1.70
